Leg,Round,Right Fencer,Left Fencer,Right Score,Left Score,MOV,Outcome,Scaled Outcome
20251,pool5,MALINAO JOHN AGASTI,RAMOS JOHN DEXTER,4.0,5.0,-1.0,0,0.4
20251,pool6,PUTIAN ADAM,GODBOUT JOSEPH ANTHONY,4.0,5.0,-1.0,0,0.4
20251,pool6,DELA CRUZ DOMINIQUE PAUL,BUNAGAN GABRIEL,5.0,2.0,3.0,1,0.8
20251,pool6,ARIAS ANTHONY BERNARD,PUTIAN ADAM,4.0,5.0,-1.0,0,0.4
20251,pool6,GODBOUT JOSEPH ANTHONY,DELA CRUZ DOMINIQUE PAUL,3.0,5.0,-2.0,0,0.3
20251,pool6,ARIAS ANTHONY BERNARD,BUNAGAN GABRIEL,3.0,5.0,-2.0,0,0.3
20251,pool6,PUTIAN ADAM,DELA CRUZ DOMINIQUE PAUL,5.0,0.0,5.0,1,1.0
20251,pool6,GODBOUT JOSEPH ANTHONY,ARIAS ANTHONY BERNARD,5.0,2.0,3.0,1,0.8
20251,pool6,BUNAGAN GABRIEL,PUTIAN ADAM,2.0,5.0,-3.0,0,0.2
20251,pool6,DELA CRUZ DOMINIQUE PAUL,ARIAS ANTHONY BERNARD,5.0,1.0,4.0,1,0.9
20251,pool6,BUNAGAN GABRIEL,GODBOUT JOSEPH ANTHONY,4.0,5.0,-1.0,0,0.4
20251,pool7,NUNEZ RAMON ANGELO GABRIEL,PANES KEN,1.0,5.0,-4.0,0,0.09999999999999998
20251,pool7,MAMURIC JOSE SR,PEREZ REYNALDO JR,3.0,5.0,-2.0,0,0.3
20251,pool7,DIMAILIG CARLOS,FUENTES ENRICO GABRIEL,5.0,2.0,3.0,1,0.8
20251,pool7,PEREZ REYNALDO JR,PANES KEN,5.0,0.0,5.0,1,1.0
20251,pool7,NUNEZ RAMON ANGELO GABRIEL,DIMAILIG CARLOS,2.0,5.0,-3.0,0,0.2
20251,pool7,FUENTES ENRICO GABRIEL,MAMURIC JOSE SR,5.0,2.0,3.0,1,0.8
20251,pool7,DIMAILIG CARLOS,PANES KEN,5.0,4.0,1.0,1,0.6
20251,pool7,PEREZ REYNALDO JR,FUENTES ENRICO GABRIEL,5.0,2.0,3.0,1,0.8
20251,pool7,MAMURIC JOSE SR,NUNEZ RAMON ANGELO GABRIEL,4.0,5.0,-1.0,0,0.4
20251,pool7,FUENTES ENRICO GABRIEL,PANES KEN,5.0,2.0,3.0,1,0.8
20251,pool7,DIMAILIG CARLOS,MAMURIC JOSE SR,5.0,3.0,2.0,1,0.7
20251,pool7,NUNEZ RAMON ANGELO GABRIEL,PEREZ REYNALDO JR,1.0,5.0,-4.0,0,0.09999999999999998
20251,pool7,MAMURIC JOSE SR,PANES KEN,0.0,5.0,-5.0,0,0.0
20251,pool7,FUENTES ENRICO GABRIEL,NUNEZ RAMON ANGELO GABRIEL,5.0,2.0,3.0,1,0.8
20251,pool7,PEREZ REYNALDO JR,DIMAILIG CARLOS,5.0,1.0,4.0,1,0.9
20251,pool8,PERALTA SIDNEY DEMITRI,BUENTIPO JR. MEYNARDO EDWARD CARLO,1.0,5.0,-4.0,0,0.09999999999999998
20251,pool8,THAI JOTHAM,PANGILINAN ABI FRANCE,3.0,5.0,-2.0,0,0.3
20251,pool8,HO CALIX ANDREAS,OCAMPO TAN ALLAN,5.0,0.0,5.0,1,1.0
20251,pool8,PANGILINAN ABI FRANCE,PERALTA SIDNEY DEMITRI,2.0,3.0,-1.0,0,0.33333333333333337
20251,pool8,BUENTIPO JR. MEYNARDO EDWARD CARLO,HO CALIX ANDREAS,2.0,5.0,-3.0,0,0.2
20251,pool8,OCAMPO TAN ALLAN,THAI JOTHAM,4.0,5.0,-1.0,0,0.4
20251,pool8,PERALTA SIDNEY DEMITRI,HO CALIX ANDREAS,4.0,5.0,-1.0,0,0.4
20251,pool8,PANGILINAN ABI FRANCE,OCAMPO TAN ALLAN,5.0,4.0,1.0,1,0.6
20251,pool8,THAI JOTHAM,BUENTIPO JR. MEYNARDO EDWARD CARLO,3.0,5.0,-2.0,0,0.3
20251,pool8,OCAMPO TAN ALLAN,PERALTA SIDNEY DEMITRI,3.0,5.0,-2.0,0,0.3
20251,pool8,HO CALIX ANDREAS,THAI JOTHAM,5.0,1.0,4.0,1,0.9
20251,pool8,BUENTIPO JR. MEYNARDO EDWARD CARLO,PANGILINAN ABI FRANCE,5.0,1.0,4.0,1,0.9
20251,pool8,PERALTA SIDNEY DEMITRI,THAI JOTHAM,5.0,4.0,1.0,1,0.6
20251,pool8,OCAMPO TAN ALLAN,BUENTIPO JR. MEYNARDO EDWARD CARLO,3.0,5.0,-2.0,0,0.3
20251,pool8,PANGILINAN ABI FRANCE,HO CALIX ANDREAS,1.0,5.0,-4.0,0,0.09999999999999998
20251,pool9,BAUTISTA GABRIEL ANTONIO,ENCELAN RAMIL JR.,0.0,5.0,-5.0,0,0.0
20251,pool9,PABALAN BRIANNE KLYDE,CAPINA DUNHILL,3.0,5.0,-2.0,0,0.3
20251,pool9,ICASIANO AURELIO,SIN MAGNUS AURELIUS,2.0,5.0,-3.0,0,0.2
20251,pool9,CAPINA DUNHILL,BAUTISTA GABRIEL ANTONIO,5.0,3.0,2.0,1,0.7
20251,pool9,ENCELAN RAMIL JR.,ICASIANO AURELIO,5.0,3.0,2.0,1,0.7
20251,pool9,SIN MAGNUS AURELIUS,PABALAN BRIANNE KLYDE,4.0,5.0,-1.0,0,0.4
20251,pool9,BAUTISTA GABRIEL ANTONIO,ICASIANO AURELIO,5.0,3.0,2.0,1,0.7
20251,pool9,CAPINA DUNHILL,SIN MAGNUS AURELIUS,5.0,2.0,3.0,1,0.8
20251,pool9,PABALAN BRIANNE KLYDE,ENCELAN RAMIL JR.,5.0,1.0,4.0,1,0.9
20251,pool9,SIN MAGNUS AURELIUS,BAUTISTA GABRIEL ANTONIO,5.0,3.0,2.0,1,0.7
20251,pool9,ICASIANO AURELIO,PABALAN BRIANNE KLYDE,1.0,5.0,-4.0,0,0.09999999999999998
